Be-10,9.60E-08,1.70E-09,1.00E-09,2.00E-03,1.60E-02
Be-7,8.40E-11,3.20E-11,8.00E-09,1.00E-06,1.60E-02
Bi-200,1.60E-11,5.10E-11,3.71E-07,6.00E-04,1.60E-02
Bi-201,4.20E-11,1.20E-10,2.05E-07,5.00E-04,1.60E-02
Bi-202,2.80E-11,8.40E-11,3.67E-07,5.00E-04,1.60E-02
Bi-203,2.10E-10,5.10E-10,3.10E-07,2.00E-04,1.60E-02
Bi-205,1.20E-09,1.10E-09,2.39E-07,1.00E-04,1.60E-02
Bi-206,1.80E-09,2.30E-09,4.87E-07,6.00E-04,1.60E-02
Bi-207,5.50E-09,1.60E-09,2.33E-07,1.00E-04,1.60E-02
Bi-208,4.00E-09,1.40E-09,1.00E-09,1.00E-06,1.60E-02
Bi-210,5.20E-08,1.90E-09,1.00E-09,1.00E-03,1.60E-02
Bi-210m,2.00E-06,1.80E-08,4.20E-08,5.00E-04,1.60E-02
Bi-211,2.30E-09,1.60E-10,1.60E-08,1.00E-03,1.60E-02
Bi-212,4.70E-09,2.20E-10,1.80E-07,1.00E-03,1.60E-02
Bi-213,3.80E-09,1.80E-10,2.70E-08,1.00E-03,1.60E-02
Bi-214,1.60E-09,1.10E-10,2.39E-07,1.00E-03,1.60E-02
Bk-245,1.10E-09,8.30E-10,5.40E-08,2.00E-03,1.60E-02
Bk-246,3.90E-10,5.60E-10,1.61E-07,3.00E-05,1.60E-02
Bk-247,8.50E-05,7.00E-07,2.10E-08,8.00E-04,1.60E-02
Bk-249,2.00E-07,1.90E-09,1.00E-09,2.00E-05,1.60E-02
Bk-250,1.20E-09,1.30E-09,1.37E-07,1.00E-03,1.60E-02
Br-74,2.60E-11,8.40E-11,1.02E-03,1.00E-03,1.60E-02
Br-74m,5.00E-11,1.40E-10,1.35E-03,9.00E-04,1.60E-02
Br-75,3.90E-11,7.70E-11,1.89E-07,9.00E-04,1.60E-02
Br-76,4.40E-10,4.20E-10,5.03E-07,7.00E-04,1.60E-02
